At     378.33, Entity:    33,378.327,0, CreateEnd (Arrival) 
At     385.25, Entity:    32,376.487,0, ServeEnd 
At     385.25, Entity:    33,378.327,0, ServeBegin 
At     385.46, Entity:    34,385.458,0, CreateEnd (Arrival) 
At     386.25, Entity:    35,386.253,0, CreateEnd (Arrival) 
At     389.23, Entity:    36,389.231,0, CreateEnd (Arrival) 
At     393.62, Entity:    33,378.327,0, ServeEnd 
At     393.62, Entity:    34,385.458,0, ServeBegin 
At     403.19, Entity:    34,385.458,0, ServeEnd 
At     403.19, Entity:    35,386.253,0, ServeBegin 
At     412.21, Entity:    35,386.253,0, ServeEnd 
At     412.21, Entity:    36,389.231,0, ServeBegin 
At     423.88, Entity:    36,389.231,0, ServeEnd 
At     438.01, Entity:    37,438.013,0, CreateEnd (Arrival) 
At     438.01, Entity:    37,438.013,0, ServeBegin 
At     438.20, Entity:    38,438.196,0, CreateEnd (Arrival) 
At     443.77, Entity:    39,443.774,0, CreateEnd (Arrival) 
At     449.54, Entity:    37,438.013,0, ServeEnd 
At     449.54, Entity:    38,438.196,0, ServeBegin 
At     461.47, Entity:    38,438.196,0, ServeEnd 
At     461.47, Entity:    39,443.774,0, ServeBegin 
At     464.01, Entity:    40,464.014,0, CreateEnd (Arrival) 
At     472.11, Entity:    39,443.774,0, ServeEnd 
At     472.11, Entity:    40,464.014,0, ServeBegin 
At     473.43, Entity:    41,473.431,0, CreateEnd (Arrival) 
At     480.78, Entity:    40,464.014,0, ServeEnd 
At     480.78, Entity:    41,473.431,0, ServeBegin 
At     488.09, Entity:    42,488.092,0, CreateEnd (Arrival) 
At     492.53, Entity:    41,473.431,0, ServeEnd 
At     492.53, Entity:    42,488.092,0, ServeBegin 
At     498.45, Entity:    43,498.451,0, CreateEnd (Arrival) 
At     499.10, Entity:    44,499.101,0, CreateEnd (Arrival) 
At     501.30, Entity:    45,501.301,0, CreateEnd (Arrival) 
At     504.51, Entity:    42,488.092,0, ServeEnd 
At     504.51, Entity:    43,498.451,0, ServeBegin 
